Date,Open,High,Low,Close,Volume
2020-02-23,13770.67,13795.24,13500.5,13579.33,424882160
2020-03-01,13231.38,13236.58,11724.12,11890.35,924184888
2020-03-08,12030.27,12272.99,11447.2,11541.87,894120873
2020-03-15,10690.08,11032.29,9064.68,9232.08,1499192960
2020-03-22,8728.48,9201.07,8255.65,8928.95,1202631295
2020-03-29,8536.33,10137.62,8480.28,9632.52,918181383
2020-04-05,9725.88,10096.42,9337.02,9525.77,673814685
2020-04-12,9889.03,10649.79,9841.49,10564.74,512848532
2020-04-19,10733.97,10820.17,10236.24,10625.78,488501027
2020-04-26,10704.35,10707.31,10249.85,10336.09,530962392
2020-05-03,10551.07,11235.57,10523.1,10861.64,574418742
2020-05-10,10543.36,10918.32,10426.06,10904.48,520249653
2020-05-17,10948.24,10986.22,10160.89,10465.17,532561114
2020-05-24,10683.86,11246.91,10677.52,11073.87,500966365
2020-05-31,11186.04,11813.14,11118.12,11586.85,658113762
2020-06-07,11896.7,12858.79,11850.34,12847.68,600464962
2020-06-14,12722.68,12913.13,11828.66,11949.28,646922909
2020-06-21,11661.36,12483.84,11597.82,12330.76,706139224
2020-06-28,12194.48,12616.12,11957.31,12089.39,593807350
2020-07-05,12090.41,12658.17,12045.26,12528.18,506295922
2020-07-12,12774.77,12842.59,12416.69,12633.71,404317681
2020-07-19,12817.19,12999.84,12535.9,12919.61,388356184
2020-07-26,12898.11,13313.9,12811.72,12838.06,359843502
2020-08-02,12865.75,12936.01,12253.92,12313.36,389597001
2020-08-09,12374.46,12799.21,12365.61,12674.88,351894654
2020-08-16,12729.1,13101.12,12605.82,12901.34,322197291
2020-08-23,12924.88,13052.84,12633.71,12764.8,291851310
2020-08-30,12945.97,13221.82,12924.7,13033.2,301954582
2020-09-06,13103.93,13460.46,12753.69,12842.66,438453714
2020-09-13,12931.4,13297.71,12856.55,13202.84,333230737
2020-09-20,13329.61,13339.14,13035.94,13116.25,424296482
2020-09-27,12998.9,12998.9,12341.58,12469.2,404268119
2020-10-04,12673.73,12873.4,12539.86,12689.04,354959238
2020-10-11,12824.05,13100.85,12727.75,13051.23,324550287
2020-10-18,13086.06,13151.8,12599.82,12908.99,329344640
2020-10-25,12948.63,13028.73,12345.45,12645.75,317430435
2020-11-01,12303.41,12404.51,11450.08,11556.48,510891365
2020-11-08,11602.91,12595.87,11551.36,12480.02,0
2020-11-15,12713.19,13297.05,12670.58,13076.72,0
2020-11-22,13170.52,13277.45,13034.51,13137.25,0
2020-11-29,13215.44,13364.17,13126.97,13335.68,0
2020-12-06,13270.51,13445.11,13223.93,13298.96,0
2020-12-13,13255.78,13454.13,13009.48,13114.3,0
2020-12-20,13224.26,13774.45,13190.53,13630.51,0
2020-12-27,13398.22,13601.71,13060.34,13587.23,0
2021-01-03,13779.05,13903.11,13717.47,13718.78,0
2021-01-10,13890.22,14131.52,13566.47,14049.53,0
2021-01-17,13986.42,14030.22,13672.67,13787.73,0
2021-01-24,13701.98,14026.35,13701.74,13873.97,0
2021-01-31,13943.96,13946.85,13310.95,13432.87,0
2021-02-07,13559.94,14114.44,13518.45,14056.72,0
2021-02-14,14156.84,14169.49,13830.12,14049.89,0
2021-02-21,14109.07,14131.21,13853.77,13993.23,0
2021-02-28,13858.56,14051.01,13664.71,13786.29,0
2021-03-07,13962.43,14197.49,13868.2,13920.69,0
2021-03-14,14024.57,14595.02,13977.13,14502.39,0
2021-03-21,14504.49,14804.01,14409.35,14621,0
2021-03-28,14551.17,14776.32,14422.65,14748.94,0
2021-04-04,14809.8,15110.92,14756.04,15107.17,0
2021-04-11,15289.97,15311.86,15144.11,15234.16,0
2021-04-18,15238.85,15473.83,15184.95,15459.75,0
2021-04-25,15496.87,15501.84,15071.78,15279.62,0
2021-05-02,15297.93,15355.28,15085.02,15135.91,0
2021-05-09,15191.79,15406.41,14845.27,15399.65,0
2021-05-16,15417.53,15419.43,14816.35,15416.64,0
2021-05-23,15432.34,15538.01,14961.27,15437.51,0
2021-05-30,15548.29,15568.6,15350.67,15519.98,0
2021-06-06,15496.48,15705.89,15414.38,15692.9,0
2021-06-13,15661.58,15732.06,15505.15,15693.27,0
2021-06-20,15739.89,15802.67,15426.76,15448.04,0
2021-06-27,15391.5,15675.9,15309.44,15607.97,0
2021-07-04,15570.8,15752.93,15461.2,15650.09,0
2021-07-11,15628.42,15700.95,15304.41,15687.93,0
2021-07-18,15675.42,15810.68,15476.99,15540.31,0
2021-07-25,15420.14,15681.41,15048.56,15669.29,0
2021-08-01,15586.66,15659.22,15423.56,15544.39,0
2021-08-08,15631.7,15808.24,15492.58,15761.45,0
2021-08-15,15773.51,16030.33,15699.27,15977.44,0
2021-08-22,15875.7,15969.85,15621.98,15808.04,0
2021-08-29,15930.72,15932.62,15701.85,15851.75,0
2021-09-05,15856.71,16006.76,15690.02,15781.2,0
2021-09-12,15818.44,15959.74,15453.96,15609.81,0
2021-09-19,15681.17,15791.9,15455.54,15490.17,0
2021-09-26,15259.5,15695.65,15019.49,15531.75,0
2021-10-03,15699.01,15704.05,14983.8,15156.44,0
2021-10-10,15061.86,15267.92,14818.71,15206.13,0
2021-10-17,15115.46,15598.58,15012.07,15587.36,0
2021-10-24,15518.59,15614.76,15406.59,15542.98,0
2021-10-31,15580.58,15781,15495.51,15688.77,0
2021-11-07,15764.55,16084.9,15760.35,16054.36,0
2021-11-14,16040.85,16122.76,15985.9,16094.07,0
2021-11-21,16109.41,16290.19,16072.29,16159.97,0
2021-11-28,16188.54,16202.77,15244.46,15257.04,0
2021-12-05,15418.28,15509.46,15015.42,15169.98,0
2021-12-12,15323.2,15834.04,15150.54,15623.31,0
2021-12-19,15653.57,15794.31,15419.55,15531.69,0
2021-12-26,15152.56,15768.45,15060.1,15756.31,0
2022-01-02,15705.53,15974.79,15697.44,15884.86,0
2022-01-09,15947.44,16285.35,15862.71,15947.74,0
2022-01-16,16006.44,16090.29,15724.23,15883.24,0
2022-01-23,15948.9,15962.7,15456.87,15603.88,0
2022-01-30,15499.61,15587.39,14952.67,15318.95,0
2022-02-06,15506.79,15736.52,15060.48,15099.56,0
2022-02-13,15220.08,15614.47,15076.89,15425.12,0
2022-02-20,15065.73,15542.84,14844.1,15042.51,0
2022-02-27,15186.63,15192.47,13807.28,14567.23,0
2022-03-06,14263.73,14510.77,13094.54,13094.54,0
2022-03-13,12614.08,13943.97,12438.85,13628.11,0
2022-03-20,13827.22,14553.1,13577.81,14413.09,0
2022-03-27,14385.82,14539.31,14187.82,14305.76,0
